date,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PRECIPITATIONCAL,MEI,PC1,PC2,amplitude
20150101,23.55,65.12,1.75,130.69,0.38,0.37,9.94,24.31,0.23,-1.40015,0.96675,1.70148
20150102,23.34,71.88,1.88,141.0,0.43,0.54,17.78,1.0,0.23,-1.74316,1.00767,2.01346
20150103,20.17,88.62,1.87,154.25,0.16,0.66,14.37,3.82,0.23,-2.03657,1.02990,2.28217
20150104,20.72,74.56,2.25,73.0,0.34,0.56,18.38,0.0,0.23,-2.26712,1.02739,2.48905
20150105,18.68,59.81,2.09,18.5,0.66,0.53,16.19,0.0,0.23,-2.42346,0.99678,2.62044
20150106,17.94,49.25,1.53,37.38,0.73,0.52,16.47,0.0,0.23,-2.49694,0.93809,2.66735
20150107,19.53,41.81,1.23,154.25,0.73,0.52,17.12,0.0,0.23,-2.48277,0.85432,2.62565
20150108,17.62,49.69,1.58,98.31,0.71,0.52,16.23,0.0,0.23,-2.38097,0.74982,2.49625
20150109,16.54,50.56,1.77,32.0,0.72,0.52,14.85,0.0,0.23,-2.19706,0.62845,2.28518
20150110,17.22,44.5,1.42,42.0,0.73,0.52,15.11,0.0,0.23,-1.94189,0.49255,2.00338
20150111,16.77,45.31,1.84,47.12,0.72,0.52,15.1,0.0,0.23,-1.63086,0.34295,1.66653
20150112,18.21,41.25,1.27,50.56,0.73,0.51,14.52,0.0,0.23,-1.28264,0.18002,1.29521
20150113,18.37,42.44,1.23,45.44,0.72,0.51,14.27,0.0,0.23,-0.91755,0.00480,0.91756
20150114,19.28,41.38,1.27,104.88,0.7,0.49,14.8,0.0,0.23,-0.55600,-0.18001,0.58441
20150115,18.44,45.88,1.53,90.94,0.7,0.48,13.66,0.0,0.23,-0.21689,-0.36973,0.42865
20150116,18.62,48.06,1.41,73.25,0.69,0.47,12.51,0.0,0.23,0.08367,-0.55798,0.56422
20150117,18.44,48.81,1.61,44.69,0.66,0.45,11.46,0.0,0.23,0.33330,-0.73739,0.80921
20150118,18.24,48.62,1.55,43.31,0.67,0.44,10.4,0.0,0.23,0.52395,-0.90049,1.04183
20150119,18.3,45.69,1.7,71.12,0.66,0.42,9.76,0.0,0.23,0.65201,-1.04070,1.22808
20150120,19.3,46.62,2.2,109.12,0.52,0.41,8.4,0.0,0.23,0.71811,-1.15300,1.35834
20150121,20.44,53.12,2.71,121.25,0.48,0.4,6.52,0.0,0.23,0.72672,-1.23433,1.43237
20150122,21.04,51.69,2.48,143.06,0.55,0.39,6.68,0.0,0.23,0.68555,-1.28368,1.45527
20150123,21.92,47.75,1.73,116.38,0.59,0.38,7.22,0.0,0.23,0.60477,-1.30201,1.43561
20150124,22.55,47.75,1.92,99.31,0.59,0.37,6.2,0.0,0.23,0.49626,-1.29195,1.38398
20150125,22.73,48.44,2.49,135.62,0.61,0.36,5.29,0.0,0.23,0.37272,-1.25762,1.31169
20150126,23.01,46.19,2.23,144.88,0.56,0.34,5.16,0.26,0.23,0.24675,-1.20429,1.22931
20150127,22.89,44.5,1.85,141.44,0.63,0.34,5.16,0.0,0.23,0.13000,-1.13811,1.14551
20150128,22.84,45.69,1.71,129.12,0.63,0.33,4.58,0.0,0.23,0.03252,-1.06556,1.06605
20150129,23.57,47.5,1.24,127.56,0.6,0.31,4.27,0.0,0.23,-0.03772,-0.99291,0.99363
20150130,22.42,50.31,2.06,40.38,0.56,0.3,2.78,0.0,0.23,-0.07499,-0.92541,0.92845
20150131,21.26,30.69,1.77,44.25,0.7,0.3,4.31,0.0,0.23,-0.07570,-0.86633,0.86963
20150201,21.13,26.56,1.41,85.75,0.73,0.28,3.96,0.0,0.05,-0.03819,-0.81593,0.81682
20150202,22.17,38.0,2.38,130.88,0.66,0.27,2.35,0.0,0.05,0.03720,-0.77046,0.77136
20150203,23.3,47.75,2.2,141.44,0.64,0.27,2.17,0.0,0.05,0.14715,-0.72167,0.73652
20150204,23.73,33.75,1.59,98.25,0.68,0.27,2.79,0.0,0.05,0.28314,-0.65822,0.71653
20150205,22.95,30.19,1.66,80.25,0.61,0.25,2.35,0.0,0.05,0.43011,-0.57089,0.71478
20150206,22.73,35.31,1.77,108.62,0.58,0.25,1.62,0.0,0.05,0.57035,-0.45879,0.73198
20150207,23.41,39.56,2.35,135.38,0.57,0.24,1.33,0.13,0.05,0.69130,-0.32943,0.76578
20150208,25.13,43.38,2.52,155.88,0.59,0.24,1.5,0.0,0.05,0.78879,-0.19255,0.81195
20150209,24.89,42.44,2.21,121.62,0.61,0.23,1.06,0.0,0.05,0.86415,-0.05555,0.86593
20150210,24.81,42.88,2.24,101.38,0.62,0.25,3.21,0.0,0.05,0.92066,0.07677,0.92385
20150211,25.28,43.25,1.83,119.5,0.62,0.27,3.64,0.01,0.05,0.96186,0.20084,0.98261
20150212,25.43,39.19,1.37,181.94,0.61,0.27,2.94,0.0,0.05,0.99111,0.31339,1.03947
20150213,24.94,36.25,1.86,193.12,0.61,0.26,2.61,0.0,0.05,1.01134,0.41103,1.09167
20150214,24.12,24.06,1.74,56.31,0.71,0.25,2.82,0.0,0.05,1.02492,0.49041,1.13621
20150215,26.67,20.0,1.32,192.12,0.73,0.23,2.86,0.0,0.05,1.03339,0.54868,1.17002
20150216,25.31,23.94,1.77,44.88,0.72,0.23,2.26,0.0,0.05,1.03734,0.58411,1.19049
20150217,27.21,20.19,1.27,216.12,0.73,0.22,2.06,0.0,0.05,1.03637,0.59684,1.19594
