date,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PRECIPITATIONCAL,MEI,PC1,PC2,amplitude
20150101,25.91,52.62,1.18,118.75,0.52,0.2,0.97,0.03,0.23,-1.40015,0.96675,1.70148
20150102,25.3,60.81,2.0,138.69,0.47,0.26,3.74,0.0,0.23,-1.74316,1.00767,2.01346
20150103,23.36,79.56,2.67,225.12,0.24,0.55,25.74,24.49,0.23,-2.03657,1.02990,2.28217
20150104,22.07,73.75,2.25,193.5,0.41,0.59,20.99,0.0,0.23,-2.26712,1.02739,2.48905
20150105,20.24,62.62,2.44,12.06,0.65,0.54,17.25,0.0,0.23,-2.42346,0.99678,2.62044
20150106,18.73,51.25,1.7,15.12,0.72,0.53,17.32,0.0,0.23,-2.49694,0.93809,2.66735
20150107,19.46,47.94,1.27,125.0,0.7,0.52,17.71,0.0,0.23,-2.48277,0.85432,2.62565
20150108,18.79,48.0,1.42,123.81,0.7,0.52,17.23,0.28,0.23,-2.38097,0.74982,2.49625
20150109,17.43,51.0,1.88,98.94,0.72,0.52,15.42,0.0,0.23,-2.19706,0.62845,2.28518
20150110,17.51,48.75,1.45,18.44,0.73,0.51,14.59,0.0,0.23,-1.94189,0.49255,2.00338
20150111,17.44,47.12,1.8,43.69,0.71,0.5,14.31,0.0,0.23,-1.63086,0.34295,1.66653
20150112,18.11,46.0,1.34,44.5,0.72,0.49,13.03,0.0,0.23,-1.28264,0.18002,1.29521
20150113,18.61,44.62,1.34,33.56,0.7,0.48,12.15,0.0,0.23,-0.91755,0.00480,0.91756
20150114,19.73,43.19,1.21,92.62,0.69,0.47,12.28,0.0,0.23,-0.55600,-0.18001,0.58441
20150115,19.71,51.75,1.48,86.25,0.62,0.45,10.67,0.0,0.23,-0.21689,-0.36973,0.42865
20150116,19.58,44.75,1.34,70.25,0.67,0.44,10.76,0.0,0.23,0.08367,-0.55798,0.56422
20150117,19.19,45.5,1.37,40.0,0.66,0.41,9.13,0.0,0.23,0.33330,-0.73739,0.80921
20150118,19.33,47.94,1.38,37.75,0.66,0.4,7.91,0.0,0.23,0.52395,-0.90049,1.04183
20150119,19.44,44.88,1.39,61.56,0.64,0.38,6.99,0.0,0.23,0.65201,-1.04070,1.22808
20150120,20.48,49.38,1.75,110.12,0.55,0.37,5.42,0.0,0.23,0.71811,-1.15300,1.35834
20150121,21.66,54.25,2.31,129.25,0.53,0.36,4.46,0.0,0.23,0.72672,-1.23433,1.43237
20150122,21.84,48.69,2.23,151.69,0.6,0.35,4.48,0.0,0.23,0.68555,-1.28368,1.45527
20150123,22.22,48.69,1.66,117.38,0.63,0.34,4.4,0.0,0.23,0.60477,-1.30201,1.43561
20150124,23.25,47.44,1.58,104.25,0.64,0.33,4.2,0.0,0.23,0.49626,-1.29195,1.38398
20150125,23.44,46.94,2.06,148.75,0.63,0.31,3.37,0.02,0.23,0.37272,-1.25762,1.31169
20150126,23.5,48.5,2.34,151.31,0.59,0.3,3.38,0.18,0.23,0.24675,-1.20429,1.22931
20150127,23.56,48.19,1.98,145.44,0.65,0.3,2.99,0.0,0.23,0.13000,-1.13811,1.14551
20150128,23.75,50.12,1.99,138.0,0.64,0.29,2.68,0.0,0.23,0.03252,-1.06556,1.06605
20150129,23.93,54.69,1.62,115.94,0.6,0.28,2.43,0.0,0.23,-0.03772,-0.99291,0.99363
20150130,23.41,48.44,1.66,62.56,0.56,0.27,2.02,0.0,0.23,-0.07499,-0.92541,0.92845
20150131,23.04,39.56,1.69,35.56,0.62,0.27,2.58,0.0,0.23,-0.07570,-0.86633,0.86963
20150201,22.46,29.94,1.32,79.06,0.64,0.26,2.58,0.0,0.05,-0.03819,-0.81593,0.81682
20150202,23.18,47.44,2.2,134.25,0.55,0.25,1.38,0.0,0.05,0.03720,-0.77046,0.77136
20150203,24.08,51.0,2.0,138.06,0.6,0.25,1.41,0.0,0.05,0.14715,-0.72167,0.73652
20150204,24.48,39.25,1.41,108.56,0.66,0.24,1.7,0.0,0.05,0.28314,-0.65822,0.71653
20150205,24.19,34.25,1.35,118.44,0.64,0.23,1.62,0.0,0.05,0.43011,-0.57089,0.71478
20150206,24.01,39.38,1.66,146.0,0.63,0.23,1.26,0.23,0.05,0.57035,-0.45879,0.73198
20150207,23.91,45.19,2.27,154.94,0.58,0.23,0.94,0.04,0.05,0.69130,-0.32943,0.76578
20150208,24.81,50.75,2.55,161.25,0.59,0.23,0.78,0.05,0.05,0.78879,-0.19255,0.81195
20150209,24.96,44.44,2.2,116.62,0.63,0.22,0.8,0.02,0.05,0.86415,-0.05555,0.86593
20150210,24.77,47.75,1.62,106.5,0.62,0.22,0.74,0.04,0.05,0.92066,0.07677,0.92385
20150211,25.58,47.25,1.41,130.0,0.6,0.22,1.3,0.15,0.05,0.96186,0.20084,0.98261
20150212,25.8,44.12,1.79,168.88,0.64,0.21,1.16,0.15,0.05,0.99111,0.31339,1.03947
