,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PRECIPITATIONCAL
20150101,25.87,55.19,1.6,191.44,0.6,0.27,3.55,0.01
20150102,25.58,66.88,2.1,141.31,0.41,0.26,2.82,0.0
20150103,25.63,71.69,2.37,199.56,0.48,0.32,11.61,0.0
20150104,24.32,67.44,2.31,317.44,0.49,0.41,14.03,0.0
20150105,23.01,57.19,3.02,80.62,0.64,0.38,8.85,0.0
20150106,21.47,41.19,2.14,97.06,0.67,0.35,8.51,0.0
20150107,21.53,36.75,1.69,112.94,0.67,0.33,7.26,0.0
20150108,21.47,33.5,1.69,117.81,0.7,0.3,6.0,0.0
20150109,20.42,35.88,2.45,52.5,0.7,0.29,4.34,0.0
20150110,20.02,35.38,1.88,50.56,0.7,0.27,3.87,0.0
20150111,19.94,34.88,1.93,25.62,0.7,0.27,3.13,0.0
20150112,20.37,39.62,1.34,55.5,0.7,0.25,2.59,0.0
20150113,21.08,38.12,1.1,53.38,0.67,0.24,2.38,0.0
20150114,21.93,53.12,1.22,131.19,0.66,0.24,1.62,0.0
20150115,22.15,54.44,1.3,91.62,0.59,0.23,1.56,0.0
20150116,22.27,45.31,1.1,72.31,0.63,0.23,1.76,0.0
20150117,21.49,35.75,1.53,44.12,0.64,0.22,1.72,0.0
20150118,21.54,36.88,1.76,38.0,0.66,0.22,1.56,0.0
20150119,21.55,41.75,1.23,73.81,0.66,0.21,1.22,0.0
20150120,21.95,56.5,1.81,130.19,0.63,0.21,0.84,0.0
20150121,22.28,53.88,2.48,128.94,0.6,0.2,0.81,0.0
20150122,21.96,48.31,1.82,142.44,0.64,0.2,0.91,0.0
20150123,22.48,54.5,1.65,134.69,0.65,0.2,0.94,0.0
20150124,23.32,55.88,1.67,135.81,0.63,0.2,0.88,0.0
20150125,23.17,56.94,1.71,139.31,0.63,0.2,0.6,0.0
20150126,23.58,57.38,1.97,150.06,0.61,0.2,0.69,0.0
20150127,23.62,55.5,1.75,146.69,0.64,0.19,0.67,0.0
20150128,23.98,61.38,2.03,147.88,0.63,0.19,0.55,0.0
20150129,25.01,58.06,1.33,116.5,0.61,0.19,0.58,0.0
20150130,24.98,54.81,1.4,69.69,0.59,0.18,0.65,0.0
20150131,24.8,46.5,1.19,73.06,0.59,0.18,0.62,0.0
20150201,24.56,53.88,1.09,114.94,0.61,0.18,0.62,0.0
20150202,24.76,59.5,2.52,138.0,0.58,0.18,0.42,0.0
20150203,23.9,53.19,1.81,128.06,0.65,0.17,0.51,0.0
20150204,23.99,50.12,1.48,136.56,0.67,0.17,0.64,0.0
20150205,24.13,47.06,1.47,138.69,0.66,0.17,0.72,0.0
20150206,23.63,53.19,1.62,134.0,0.63,0.16,0.46,0.0
20150207,23.55,57.5,1.83,141.81,0.59,0.16,0.21,0.0
20150208,24.51,55.81,2.26,156.44,0.6,0.16,0.17,0.0
20150209,25.38,50.94,2.27,135.44,0.62,0.16,0.38,0.0
20150210,25.33,54.12,1.84,116.81,0.59,0.16,0.33,0.0
20150211,25.56,54.12,1.62,135.94,0.59,0.16,0.39,0.0
