date,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PS,PRECIPITATIONCAL,MEI,PC1,PC2,amplitude
20150101,25.68,52.88,1.06,140.12,0.52,0.19,0.96,97.37,0.0,0.23,-1.40015,0.96675,1.70148
20150102,25.09,62.19,2.21,147.06,0.47,0.22,2.6,97.7,0.0,0.23,-1.74316,1.00767,2.01346
20150103,23.91,76.31,3.16,225.75,0.24,0.41,19.49,97.84,21.73,0.23,-2.03657,1.02990,2.28217
20150104,22.23,72.31,2.39,163.69,0.41,0.49,17.5,98.0,0.0,0.23,-2.26712,1.02739,2.48905
20150105,20.85,60.5,2.64,11.81,0.65,0.45,12.84,98.0,0.0,0.23,-2.42346,0.99678,2.62044
20150106,19.36,45.88,1.96,13.81,0.72,0.42,12.58,97.98,0.0,0.23,-2.49694,0.93809,2.66735
20150107,20.11,41.12,1.48,139.56,0.7,0.4,12.27,97.86,0.0,0.23,-2.48277,0.85432,2.62565
20150108,19.53,40.75,1.59,82.75,0.7,0.38,10.9,97.96,0.0,0.23,-2.38097,0.74982,2.49625
20150109,18.36,42.0,2.2,98.44,0.72,0.37,8.97,98.14,0.0,0.23,-2.19706,0.62845,2.28518
20150110,18.16,40.62,1.71,20.12,0.73,0.35,8.29,98.15,0.0,0.23,-1.94189,0.49255,2.00338
20150111,18.18,38.81,2.09,43.56,0.71,0.34,7.36,98.14,0.0,0.23,-1.63086,0.34295,1.66653
20150112,18.86,38.94,1.52,51.25,0.72,0.33,6.67,98.07,0.0,0.23,-1.28264,0.18002,1.29521
20150113,19.29,36.44,1.5,43.38,0.7,0.31,5.9,97.96,0.0,0.23,-0.91755,0.00480,0.91756
20150114,20.62,38.25,1.3,108.5,0.69,0.3,5.25,97.9,0.0,0.23,-0.55600,-0.18001,0.58441
20150115,20.51,52.31,1.55,96.44,0.62,0.3,3.99,97.95,0.0,0.23,-0.21689,-0.36973,0.42865
20150116,20.58,37.06,1.34,76.44,0.67,0.28,4.46,97.98,0.0,0.23,0.08367,-0.55798,0.56422
20150117,20.0,37.0,1.52,46.44,0.66,0.27,3.57,98.04,0.0,0.23,0.33330,-0.73739,0.80921
20150118,20.19,40.56,1.58,42.56,0.66,0.27,3.04,98.07,0.0,0.23,0.52395,-0.90049,1.04183
20150119,20.27,38.38,1.46,65.62,0.64,0.26,2.76,98.01,0.0,0.23,0.65201,-1.04070,1.22808
20150120,21.01,49.62,1.85,126.38,0.55,0.25,1.74,98.13,0.0,0.23,0.71811,-1.15300,1.35834
20150121,21.73,54.44,2.73,139.81,0.53,0.25,1.62,98.32,0.0,0.23,0.72672,-1.23433,1.43237
20150122,21.57,47.31,2.28,155.06,0.6,0.24,1.83,98.26,0.0,0.23,0.68555,-1.28368,1.45527
20150123,22.08,50.69,1.8,133.5,0.63,0.23,1.77,98.02,0.0,0.23,0.60477,-1.30201,1.43561
20150124,22.94,49.88,1.64,130.75,0.64,0.23,1.74,98.04,0.0,0.23,0.49626,-1.29195,1.38398
20150125,22.89,50.62,2.09,154.69,0.63,0.23,1.41,98.15,0.0,0.23,0.37272,-1.25762,1.31169
20150126,23.15,51.94,2.46,155.88,0.59,0.23,1.53,98.05,0.0,0.23,0.24675,-1.20429,1.22931
20150127,23.17,51.5,2.23,152.69,0.65,0.22,1.38,97.94,0.0,0.23,0.13000,-1.13811,1.14551
20150128,23.47,54.75,2.36,148.25,0.64,0.21,1.23,97.81,0.0,0.23,0.03252,-1.06556,1.06605
20150129,23.87,56.06,1.71,121.06,0.6,0.21,1.16,97.9,0.0,0.23,-0.03772,-0.99291,0.99363
20150130,23.73,50.69,1.66,65.12,0.56,0.21,1.06,98.08,0.0,0.23,-0.07499,-0.92541,0.92845
20150131,23.33,41.38,1.75,44.25,0.62,0.2,1.26,98.09,0.0,0.23,-0.07570,-0.86633,0.86963
20150201,23.01,35.31,1.28,92.5,0.64,0.2,1.36,98.05,0.0,0.05,-0.03819,-0.81593,0.81682
20150202,23.52,53.31,2.5,139.62,0.55,0.2,0.68,98.14,0.0,0.05,0.03720,-0.77046,0.77136
20150203,23.47,53.06,2.09,139.75,0.6,0.2,0.76,98.37,0.0,0.05,0.14715,-0.72167,0.73652
20150204,23.96,45.25,1.55,130.88,0.66,0.19,0.94,98.27,0.0,0.05,0.28314,-0.65822,0.71653
20150205,23.65,39.44,1.55,138.38,0.64,0.19,0.94,98.1,0.0,0.05,0.43011,-0.57089,0.71478
20150206,23.29,45.94,1.86,147.88,0.63,0.19,0.67,98.07,0.0,0.05,0.57035,-0.45879,0.73198
20150207,23.39,50.81,2.41,156.06,0.58,0.18,0.51,98.0,0.0,0.05,0.69130,-0.32943,0.76578
20150208,24.16,54.81,2.73,162.56,0.59,0.18,0.32,97.93,0.0,0.05,0.78879,-0.19255,0.81195
20150209,24.8,47.19,2.38,131.69,0.63,0.18,0.47,97.98,0.0,0.05,0.86415,-0.05555,0.86593
20150210,24.52,51.38,1.84,117.62,0.62,0.18,0.39,98.09,0.0,0.05,0.92066,0.07677,0.92385
20150211,24.98,51.5,1.69,140.0,0.6,0.18,0.61,97.97,0.0,0.05,0.96186,0.20084,0.98261
20150212,25.19,47.19,1.96,166.19,0.64,0.17,0.78,97.84,0.0,0.05,0.99111,0.31339,1.03947
20150213,25.39,43.06,1.61,193.25,0.64,0.17,0.82,97.76,0.0,0.05,1.01134,0.41103,1.09167
20150214,25.1,26.5,1.66,23.94,0.67,0.16,0.96,97.73,0.0,0.05,1.02492,0.49041,1.13621
20150215,26.73,18.19,1.02,50.81,0.7,0.16,1.16,97.7,0.0,0.05,1.03339,0.54868,1.17002
20150216,26.42,24.19,1.17,99.12,0.69,0.16,0.94,97.81,0.0,0.05,1.03734,0.58411,1.19049
20150217,26.8,22.81,1.27,118.06,0.7,0.16,0.96,97.7,0.0,0.05,1.03637,0.59684,1.19594
20150218,26.26,36.75,1.92,193.62,0.66,0.16,0.68,97.58,0.0,0.05,1.02925,0.58960,1.18617
20150219,26.26,48.44,2.42,169.31,0.62,0.15,0.45,97.66,0.0,0.05,1.01413,0.56841,1.16257
20150220,26.92,44.12,2.31,156.94,0.57,0.15,0.61,97.76,0.0,0.05,0.98859,0.54315,1.12798
20150221,27.36,35.19,1.33,88.44,0.61,0.15,0.49,97.83,0.0,0.05,0.94920,0.52780,1.08608
20150222,27.68,24.88,1.53,59.19,0.68,0.15,0.62,97.86,0.0,0.05,0.89034,0.53847,1.04051
