,T2M,RH2M,WS2M,WD2M,ALLSKY_SFC_SW_DWN,PRECIPITATIONCAL
20150101,25.91,52.62,1.18,118.75,3.89,0.03
20150102,25.3,60.81,2.0,138.69,3.45,0.0
20150103,23.36,79.56,2.67,225.12,1.8,24.49
20150104,22.07,73.75,2.25,193.5,3.0,0.0
20150105,20.24,62.62,2.44,12.06,4.83,0.0
20150106,18.73,51.25,1.7,15.12,5.35,0.0
20150107,19.46,47.94,1.27,125.0,5.23,0.0
20150108,18.79,48.0,1.42,123.81,5.23,0.28
20150109,17.43,51.0,1.88,98.94,5.39,0.0
20150110,17.51,48.75,1.45,18.44,5.51,0.0
20150111,17.44,47.12,1.8,43.69,5.4,0.0
20150112,18.11,46.0,1.34,44.5,5.44,0.0
20150113,18.61,44.62,1.34,33.56,5.31,0.0
20150114,19.73,43.19,1.21,92.62,5.22,0.0
20150115,19.71,51.75,1.48,86.25,4.79,0.0
20150116,19.58,44.75,1.34,70.25,5.17,0.0
20150117,19.19,45.5,1.37,40.0,5.07,0.0
20150118,19.33,47.94,1.38,37.75,5.1,0.0
20150119,19.44,44.88,1.39,61.56,4.96,0.0
20150120,20.48,49.38,1.75,110.12,4.23,0.0
20150121,21.66,54.25,2.31,129.25,4.15,0.0
20150122,21.84,48.69,2.23,151.69,4.74,0.0
20150123,22.22,48.69,1.66,117.38,5.0,0.0
20150124,23.25,47.44,1.58,104.25,5.04,0.0
20150125,23.44,46.94,2.06,148.75,5.01,0.02
20150126,23.5,48.5,2.34,151.31,4.69,0.18
20150127,23.56,48.19,1.98,145.44,5.21,0.0
20150128,23.75,50.12,1.99,138.0,5.17,0.0
20150129,23.93,54.69,1.62,115.94,4.87,0.0
20150130,23.41,48.44,1.66,62.56,4.57,0.0
20150131,23.04,39.56,1.69,35.56,5.01,0.0
20150201,22.46,29.94,1.32,79.06,5.25,0.0
20150202,23.18,47.44,2.2,134.25,4.57,0.0
20150203,24.08,51.0,2.0,138.06,5.0,0.0
20150204,24.48,39.25,1.41,108.56,5.47,0.0
20150205,24.19,34.25,1.35,118.44,5.35,0.0
20150206,24.01,39.38,1.66,146.0,5.32,0.23
20150207,23.91,45.19,2.27,154.94,4.87,0.04
